"90","Sales E Commerce","Revenue - ECM SO ID: 12453","7986"
"90","Wholesales (B2B)","Revenue - B2B SO ID: 12454","299000"
"90","Human Resource Expense","Counselled","-2000"
"90","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"90","Salary Expense","Cash Payment - Salary Expense","-30668"
"90","Retail","Revenue - Retail Sales Los Angeles - Sparkling Wine","12275"
"90","Retail","Revenue - Retail Sales Los Angeles - Red Wine","8526"
"90","Retail","Revenue - Retail Sales Los Angeles - White Wine","15180"
"90","Retail","Revenue - Retail Sales New York - Sparkling Wine","13936"
"90","Retail","Revenue - Retail Sales New York - Red Wine","13620"
"90","Retail","Revenue - Retail Sales New York - White Wine","30287"
"90","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","9384"
"90","Retail","Revenue - Retail Sales Detroit - Red Wine","10892"
"90","Retail","Revenue - Retail Sales Detroit - White Wine","10527"
"90","Rental Expense","Cash Payment - Rental - Chicago","-4800"
"90","Rental Expense","Cash Payment - Rental - Los Angeles","-1620"
"90","Rental Expense","Cash Payment - Rental - New York","-4020"
"90","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","-270"
"90","Rental Expense","Cash Payment - Rental - Detroit","-1000"
"89","Sales E Commerce","Revenue - ECM SO ID: 12315","21646"
"89","Human Resource Expense","Counselled","-2000"
"89","Human Resource Expense","Counselled","-2000"
"89","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"89","Salary Expense","Cash Payment - Salary Expense","-30668"
"89","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 319","-15000"
"89","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 322","-15000"
"89","Retail","Revenue - Retail Sales Los Angeles - Sparkling Wine","11175"
"89","Retail","Revenue - Retail Sales Los Angeles - Red Wine","9222"
"89","Retail","Revenue - Retail Sales Los Angeles - White Wine","16080"
"89","Retail","Revenue - Retail Sales New York - Sparkling Wine","13936"
"89","Retail","Revenue - Retail Sales New York - Red Wine","13200"
"89","Retail","Revenue - Retail Sales New York - White Wine","32767"
"89","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","9384"
"89","Retail","Revenue - Retail Sales Detroit - Red Wine","10248"
"89","Retail","Revenue - Retail Sales Detroit - White Wine","10324"
"89","Services","Revenue - Service Sales Order ID: 11867","88300"
